[2025-05-22 11:52:55] error: 	z2m: Failed to read state of 'Mains Water Valve' after reconnect (ZCL command 0xa4c13821b871b601/1 genOnOff.read(["onOff"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false}) failed (Status 'WRITE_ONLY'))
[2025-05-22 11:53:30] warning: 	z2m: Failed to ping 'LG Soundbar' (attempt 1/1, ZCL command 0x70b3d52b600a7ec8/1 genBasic.read(["zclVersion"], {"timeout":10000,"disableResponse":false,"disableRecovery":true,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false}) failed (Data request failed with error: 'No network route' (205)))
[2025-05-22 11:55:30] error: 	z2m: Not connected to MQTT server!
[2025-05-22 11:55:30] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/TF Thermostat Hallway', payload: '{"child_lock":"LOCK","current_heating_setpoint":20,"deadzone_temperature":null,"heat":"OFF","local_temperature":24.5,"local_temperature_calibration":-5,"max_temperature_limit":null,"min_temperature_limit":null,"running_state":"idle","sensor":null,"system_mode":"heat"}
[2025-05-22 11:55:30] error: 	z2m: Not connected to MQTT server!
[2025-05-22 11:55:30] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/TF Thermostat Master Bedroom', payload: '{"child_lock":"UNLOCK","current_heating_setpoint":21,"deadzone_temperature":null,"heat":"OFF","local_temperature":24.5,"local_temperature_calibration":-5,"max_temperature":45,"max_temperature_limit":null,"min_temperature_limit":1,"preset":"hold","preset_mode":"hold","running_state":"idle","sensor":"AL","system_mode":"heat"}
[2025-05-22 11:55:30] error: 	z2m: Not connected to MQTT server!
[2025-05-22 11:55:30] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/DS Thermostat Hallway', payload: '{"child_lock":"UNLOCK","current_heating_setpoint":20,"deadzone_temperature":null,"heat":"OFF","local_temperature":28,"local_temperature_calibration":-1,"max_temperature":45,"max_temperature_limit":null,"min_temperature_limit":1,"preset":"hold","preset_mode":"hold","running_state":"idle","sensor":"IN","system_mode":"heat"}
[2025-05-22 11:55:30] error: 	z2m: Not connected to MQTT server!
[2025-05-22 11:55:30] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/MF Thermostat Hallway', payload: '{"child_lock":"UNLOCK","current_heating_setpoint":20,"deadzone_temperature":null,"heat":"OFF","local_temperature":25.5,"local_temperature_calibration":-3,"max_temperature":45,"max_temperature_limit":null,"min_temperature_limit":1,"preset":"hold","preset_mode":"hold","running_state":"idle","sensor":"AL","system_mode":"heat"}
[2025-05-22 11:55:30] error: 	z2m: Not connected to MQTT server!
[2025-05-22 11:55:30] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/DS Thermostat Bedroom', payload: '{"child_lock":"UNLOCK","current_heating_setpoint":21,"deadzone_temperature":null,"heat":"OFF","local_temperature":25,"local_temperature_calibration":-5,"max_temperature":45,"max_temperature_limit":null,"min_temperature_limit":1,"preset":"hold","preset_mode":"hold","running_state":"idle","sensor":"AL","system_mode":"heat"}
[2025-05-22 11:55:30] error: 	z2m: Not connected to MQTT server!
[2025-05-22 11:55:30] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/DS Thermostat Kitchen Dining', payload: '{"child_lock":"UNLOCK","current_heating_setpoint":20,"deadzone_temperature":null,"heat":"OFF","local_temperature":25.5,"local_temperature_calibration":-4,"max_temperature":45,"max_temperature_limit":null,"min_temperature_limit":1,"preset":"hold","preset_mode":"hold","running_state":"idle","sensor":"IN","system_mode":"heat"}
[2025-05-22 11:55:30] error: 	z2m: Not connected to MQTT server!
[2025-05-22 11:55:30] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/MF Thermostat Living Room & Bar', payload: '{"child_lock":"UNLOCK","current_heating_setpoint":20,"deadzone_temperature":null,"heat":"OFF","local_temperature":27,"local_temperature_calibration":-5,"max_temperature":45,"max_temperature_limit":null,"min_temperature_limit":0,"preset":"hold","preset_mode":"hold","running_state":"idle","sensor":"AL","system_mode":"heat"}
[2025-05-22 11:55:30] error: 	z2m: Not connected to MQTT server!
[2025-05-22 11:55:30] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/TF Thermostat Bedroom', payload: '{"child_lock":"UNLOCK","current_heating_setpoint":21,"deadzone_temperature":null,"heat":"OFF","local_temperature":28,"local_temperature_calibration":-3,"max_temperature":45,"max_temperature_limit":null,"min_temperature_limit":1,"preset":"hold","preset_mode":"hold","running_state":"idle","sensor":"IN","system_mode":"heat"}
[2025-05-22 11:55:30] error: 	z2m: Not connected to MQTT server!
[2025-05-22 11:55:30] error: 	z2m: Cannot send message: topic: 'zigbee2mqtt/TF Thermostat Small Room', payload: '{"child_lock":"UNLOCK","current_heating_setpoint":20,"deadzone_temperature":null,"heat":"OFF","local_temperature":26.5,"local_temperature_calibration":-4,"max_temperature":45,"max_temperature_limit":null,"min_temperature_limit":1,"preset":"hold","preset_mode":"hold","running_state":"idle","sensor":"AL","system_mode":"heat"}
